Wire Label,Grid Point,Column,Row,Wire Length (m),Anchor X,Anchor Y,Anchor Z,End X,End Y,End Z,Group
A10,C3-R2,3,2,0.5800,-0.4500,1.3370,0.3917,-0.4500,0.7570,0.3917,A
A10,C3-R2,3,2,0.5800,-0.4500,1.3370,0.3917,-0.4500,0.7570,0.3917,A
A2,C1-R1,1,1,0.2700,-0.7500,1.3370,0.6000,-0.7500,1.0670,0.6000,A
A2,C1-R1,1,1,0.2700,-0.7500,1.3370,0.6000,-0.7500,1.0670,0.6000,A
A4,C11-R1,11,1,0.3500,0.7500,1.3370,0.6000,0.7500,0.9870,0.6000,A
A4,C11-R1,11,1,0.3500,0.7500,1.3370,0.6000,0.7500,0.9870,0.6000,A
A6,C1-R2,1,2,0.4300,-0.7500,1.3370,0.4500,-0.7500,0.9070,0.4500,A
A6,C1-R2,1,2,0.4300,-0.7500,1.3370,0.4500,-0.7500,0.9070,0.4500,A
A8,C2-R2,2,2,0.5100,-0.6000,1.3370,0.4154,-0.6000,0.8270,0.4154,A
A8,C2-R2,2,2,0.5100,-0.6000,1.3370,0.4154,-0.6000,0.8270,0.4154,A
B2,C4-R2,4,2,0.3000,-0.3000,1.3370,0.3763,-0.3000,1.0370,0.3763,B
B2,C4-R2,4,2,0.3000,-0.3000,1.3370,0.3763,-0.3000,1.0370,0.3763,B
B4,C5-R2,5,2,0.3800,-0.1500,1.3370,0.3664,-0.1500,0.9570,0.3664,B
B4,C5-R2,5,2,0.3800,-0.1500,1.3370,0.3664,-0.1500,0.9570,0.3664,B
B6,C6-R2,6,2,0.4500,0.0000,1.3370,0.3622,0.0000,0.8870,0.3622,B
B6,C6-R2,6,2,0.4500,0.0000,1.3370,0.3622,0.0000,0.8870,0.3622,B
B8,C7-R2,7,2,0.5200,0.1500,1.3370,0.3718,0.1500,0.8170,0.3718,B
B8,C7-R2,7,2,0.5200,0.1500,1.3370,0.3718,0.1500,0.8170,0.3718,B
C1,C8-R2,8,2,0.3000,0.3000,1.3370,0.3816,0.3000,1.0370,0.3816,C
C1,C8-R2,8,2,0.3000,0.3000,1.3370,0.3816,0.3000,1.0370,0.3816,C
C3,C9-R2,9,2,0.3600,0.4500,1.3370,0.3951,0.4500,0.9770,0.3951,C
C3,C9-R2,9,2,0.3600,0.4500,1.3370,0.3951,0.4500,0.9770,0.3951,C
C5,C10-R2,10,2,0.4200,0.6000,1.3370,0.4165,0.6000,0.9170,0.4165,C
C5,C10-R2,10,2,0.4200,0.6000,1.3370,0.4165,0.6000,0.9170,0.4165,C
C7,C11-R2,11,2,0.4900,0.7500,1.3370,0.4500,0.7500,0.8470,0.4500,C
C7,C11-R2,11,2,0.4900,0.7500,1.3370,0.4500,0.7500,0.8470,0.4500,C
D1,C1-R3,1,3,0.3200,-0.7500,1.3370,0.3000,-0.7500,1.0170,0.3000,D
D1,C1-R3,1,3,0.3200,-0.7500,1.3370,0.3000,-0.7500,1.0170,0.3000,D
D3,C2-R3,2,3,0.3700,-0.6000,1.3370,0.2729,-0.6000,0.9670,0.2729,D
D3,C2-R3,2,3,0.3700,-0.6000,1.3370,0.2729,-0.6000,0.9670,0.2729,D
D5,C3-R3,3,3,0.4300,-0.4500,1.3370,0.2584,-0.4500,0.9070,0.2584,D
D5,C3-R3,3,3,0.4300,-0.4500,1.3370,0.2584,-0.4500,0.9070,0.2584,D
D7,C4-R3,4,3,0.4900,-0.3000,1.3370,0.2509,-0.3000,0.8470,0.2509,D
D7,C4-R3,4,3,0.4900,-0.3000,1.3370,0.2509,-0.3000,0.8470,0.2509,D
E2,C5-R3,5,3,0.3600,-0.1500,1.3370,0.2451,-0.1500,0.9770,0.2451,E
E2,C5-R3,5,3,0.3600,-0.1500,1.3370,0.2451,-0.1500,0.9770,0.2451,E
E4,C6-R3,6,3,0.4000,0.0000,1.3370,0.2414,0.0000,0.9370,0.2414,E
E4,C6-R3,6,3,0.4000,0.0000,1.3370,0.2414,0.0000,0.9370,0.2414,E
E6,C7-R3,7,3,0.4500,0.1500,1.3370,0.2560,0.1500,0.8870,0.2560,E
E6,C7-R3,7,3,0.4500,0.1500,1.3370,0.2560,0.1500,0.8870,0.2560,E
F2,C8-R3,8,3,0.3700,0.3000,1.3370,0.2615,0.3000,0.9670,0.2615,F
F2,C8-R3,8,3,0.3700,0.3000,1.3370,0.2615,0.3000,0.9670,0.2615,F
F4,C9-R3,9,3,0.4000,0.4500,1.3370,0.2650,0.4500,0.9370,0.2650,F
F4,C9-R3,9,3,0.4000,0.4500,1.3370,0.2650,0.4500,0.9370,0.2650,F
G1,C10-R3,10,3,0.3600,0.6000,1.3370,0.2751,0.6000,0.9770,0.2751,G
G1,C10-R3,10,3,0.3600,0.6000,1.3370,0.2751,0.6000,0.9770,0.2751,G
G3,C11-R3,11,3,0.3800,0.7500,1.3370,0.3000,0.7500,0.9570,0.3000,G
G3,C11-R3,11,3,0.3800,0.7500,1.3370,0.3000,0.7500,0.9570,0.3000,G
